Producto,Mercado,Week_Start_Date,Latitude,Longitude,Precio_Unidad
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-03-13,-36.57060167406145,-72.09974646092063,476.19047619047615
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-03-20,-36.57060167406145,-72.09974646092063,448.5617283950617
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-03-27,-36.57060167406145,-72.09974646092063,451.3888888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-04-03,-36.57060167406145,-72.09974646092063,455.1587301587302
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-04-10,-36.57060167406145,-72.09974646092063,466.66666666666663
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-04-17,-36.57060167406145,-72.09974646092063,459.0432098765432
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-04-24,-36.57060167406145,-72.09974646092063,458.3333333333333
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-05-01,-36.57060167406145,-72.09974646092063,474.2142857142857
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-05-08,-36.57060167406145,-72.09974646092063,453.96296296296293
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-05-15,-36.57060167406145,-72.09974646092063,495.3703703703703
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-05-22,-36.57060167406145,-72.09974646092063,476.1904761904762
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-05-29,-36.57060167406145,-72.09974646092063,458.4126984126984
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-06-05,-36.57060167406145,-72.09974646092063,472.9166666666667
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-06-12,-36.57060167406145,-72.09974646092063,539.6825396825396
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-06-19,-36.57060167406145,-72.09974646092063,477.5138888888889
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-06-26,-36.57060167406145,-72.09974646092063,475.38194444444446
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-07-03,-36.57060167406145,-72.09974646092063,602.6805555555555
Cebolla,Terminal Hortofrutícola Agro Chillán,2023-07-10,-36.57060167406145,-72.09974646092063,555.5555555555555
Cebolla,Terminal La Palmera de La Serena,2018-09-24,-29.89028994286884,-71.25312099130934,559.37511875
Cebolla,Terminal La Palmera de La Serena,2018-10-01,-29.89028994286884,-71.25312099130934,621.8746625
Cebolla,Terminal La Palmera de La Serena,2018-10-08,-29.89028994286884,-71.25312099130934,681.2497125
Cebolla,Terminal La Palmera de La Serena,2018-11-05,-29.89028994286884,-71.25312099130934,418.7502569444444
Cebolla,Terminal La Palmera de La Serena,2018-11-12,-29.89028994286884,-71.25312099130934,435.5558666666666
Cebolla,Terminal La Palmera de La Serena,2018-11-19,-29.89028994286884,-71.25312099130934,432.22254444444434
Cebolla,Terminal La Palmera de La Serena,2018-11-26,-29.89028994286884,-71.25312099130934,430.55588333333327
Cebolla,Terminal La Palmera de La Serena,2018-12-03,-29.89028994286884,-71.25312099130934,413.88913999999994
Cebolla,Terminal La Palmera de La Serena,2018-12-10,-29.89028994286884,-71.25312099130934,358.3333288888889
Cebolla,Terminal La Palmera de La Serena,2018-12-24,-29.89028994286884,-71.25312099130934,319.4442611111111
Cebolla,Terminal La Palmera de La Serena,2019-01-14,-29.89028994286884,-71.25312099130934,291.6666666666667
Cebolla,Terminal La Palmera de La Serena,2019-01-21,-29.89028994286884,-71.25312099130934,263.8888888888889
Cebolla,Terminal La Palmera de La Serena,2019-01-28,-29.89028994286884,-71.25312099130934,263.8888888888889
Cebolla,Terminal La Palmera de La Serena,2019-02-04,-29.89028994286884,-71.25312099130934,263.8888888888889
Cebolla,Terminal La Palmera de La Serena,2019-02-11,-29.89028994286884,-71.25312099130934,263.8888888888889
Cebolla,Terminal La Palmera de La Serena,2019-02-18,-29.89028994286884,-71.25312099130934,263.8888888888889
Cebolla,Terminal La Palmera de La Serena,2019-02-25,-29.89028994286884,-71.25312099130934,263.8888888888889
Cebolla,Terminal La Palmera de La Serena,2019-03-04,-29.89028994286884,-71.25312099130934,253.8888888888889
Cebolla,Terminal La Palmera de La Serena,2019-03-11,-29.89028994286884,-71.25312099130934,244.44444444444449
Cebolla,Terminal La Palmera de La Serena,2019-03-18,-29.89028994286884,-71.25312099130934,260.0
Cebolla,Terminal La Palmera de La Serena,2019-03-25,-29.89028994286884,-71.25312099130934,263.8888888888889
Cebolla,Terminal La Palmera de La Serena,2019-04-01,-29.89028994286884,-71.25312099130934,275.0
Cebolla,Terminal La Palmera de La Serena,2019-04-08,-29.89028994286884,-71.25312099130934,255.55580555555562
Cebolla,Terminal La Palmera de La Serena,2019-04-15,-29.89028994286884,-71.25312099130934,255.5558055555556
Cebolla,Terminal La Palmera de La Serena,2019-04-22,-29.89028994286884,-71.25312099130934,272.2224166666666
Cebolla,Terminal La Palmera de La Serena,2019-05-13,-29.89028994286884,-71.25312099130934,347.05882352941177
Cebolla,Terminal La Palmera de La Serena,2019-06-03,-29.89028994286884,-71.25312099130934,325.55555555555554
Cebolla,Terminal La Palmera de La Serena,2019-06-10,-29.89028994286884,-71.25312099130934,326.47058823529414
Cebolla,Terminal La Palmera de La Serena,2019-06-17,-29.89028994286884,-71.25312099130934,322.94117647058823
Cebolla,Terminal La Palmera de La Serena,2019-07-01,-29.89028994286884,-71.25312099130934,331.1764705882353
Cebolla,Terminal La Palmera de La Serena,2019-07-08,-29.89028994286884,-71.25312099130934,338.2352941176471
Cebolla,Terminal La Palmera de La Serena,2019-07-15,-29.89028994286884,-71.25312099130934,338.2352941176471
Cebolla,Terminal La Palmera de La Serena,2019-07-22,-29.89028994286884,-71.25312099130934,347.6470588235294
Cebolla,Terminal La Palmera de La Serena,2019-07-29,-29.89028994286884,-71.25312099130934,345.29411764705884
Cebolla,Terminal La Palmera de La Serena,2019-08-05,-29.89028994286884,-71.25312099130934,348.8235294117647
Cebolla,Terminal La Palmera de La Serena,2019-08-12,-29.89028994286884,-71.25312099130934,350.0
Cebolla,Terminal La Palmera de La Serena,2019-08-19,-29.89028994286884,-71.25312099130934,405.88235294117646
Cebolla,Terminal La Palmera de La Serena,2019-08-26,-29.89028994286884,-71.25312099130934,405.88235294117646
Cebolla,Terminal La Palmera de La Serena,2019-09-02,-29.89028994286884,-71.25312099130934,390.0
Cebolla,Terminal La Palmera de La Serena,2019-09-09,-29.89028994286884,-71.25312099130934,379.4117647058824
Cebolla,Terminal La Palmera de La Serena,2019-09-16,-29.89028994286884,-71.25312099130934,379.4117647058824
Cebolla,Terminal La Palmera de La Serena,2019-09-23,-29.89028994286884,-71.25312099130934,355.88235294117646
Cebolla,Terminal La Palmera de La Serena,2019-10-07,-29.89028994286884,-71.25312099130934,330.55555555555554
Cebolla,Terminal La Palmera de La Serena,2019-10-14,-29.89028994286884,-71.25312099130934,330.55555555555554
